"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","205","Ошибка логина несуществующим пользователем","tests","2026-09-25","passed","2026-09-25","TestLoginCourier","test_login_courier","",""
"","62","Ошибка при создании курьера без пароля","tests","2026-09-25","passed","2026-09-25","TestCreateCourier","test_create_courier","",""
"","182","Создание заказа с разными вариантами цветов","tests","2026-09-25","passed","2026-09-25","TestCreateOrder","test_create_order","",""
"","338","Успешное создание курьера","tests","2026-09-25","passed","2026-09-25","TestCreateCourier","test_create_courier","",""
"","17561","Получение списка заказов","tests","2026-09-25","passed","2026-09-25","TestListOrders","test_list_orders","",""
"","90","Создание заказа с разными вариантами цветов","tests","2026-09-25","passed","2026-09-25","TestCreateOrder","test_create_order","",""
"","90","Ошибка логина с неправильным паролем","tests","2026-09-25","passed","2026-09-25","TestLoginCourier","test_login_courier","",""
"","5058","Ошибка логина без обязательного поля password","tests","2026-09-25","passed","2026-09-25","TestLoginCourier","test_login_courier","",""
"","85","Ошибка логина без обязательного поля login","tests","2026-09-25","passed","2026-09-25","TestLoginCourier","test_login_courier","",""
"","69","Успешный логин курьера","tests","2026-09-25","passed","2026-09-25","TestLoginCourier","test_login_courier","",""
"","75","Нельзя создать двух одинаковых курьеров","tests","2026-09-25","passed","2026-09-25","TestCreateCourier","test_create_courier","",""
"","95","Создание заказа с разными вариантами цветов","tests","2026-09-25","passed","2026-09-25","TestCreateOrder","test_create_order","",""
"","84","Создание заказа с разными вариантами цветов","tests","2026-09-25","passed","2026-09-25","TestCreateOrder","test_create_order","",""
"","69","Ошибка при создании курьера без логина","tests","2026-09-25","passed","2026-09-25","TestCreateCourier","test_create_courier","",""
